Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 40.00      0.10     0.10                             _mcount_private
 12.00      0.13     0.03   256849     0.12     0.12  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  8.00      0.15     0.02   248832     0.08     0.08  sf::Vector2<float> sf::operator-<float>(sf::Vector2<float> const&, sf::Vector2<float> const&)
  8.00      0.17     0.02   191207     0.10     0.10  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, Animation> > const*)
  4.00      0.18     0.01   248832     0.04     0.04  sf::Vector2<float> sf::operator+<float>(sf::Vector2<float> const&, sf::Vector2<float> const&)
  4.00      0.19     0.01   201736     0.05     0.05  std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > >::end()
  4.00      0.20     0.01   113731     0.09     0.09  FixtureComponent::getCenter() const
  4.00      0.21     0.01    63944     0.16     0.16  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_S_key(std::_Rb_tree_node_base const*)
  4.00      0.22     0.01    62208     0.16     0.16  __gnu_cxx::__normal_iterator<GraphicsComponent**, std::vector<GraphicsComponent*, std::allocator<GraphicsComponent*> > >::operator++()
  4.00      0.23     0.01    62208     0.16     0.16  GraphicsComponent::getTransform() const
  4.00      0.24     0.01    19539     0.51     0.51  GraphicsComponent::setColor(sf::Color)
  4.00      0.25     0.01                             _fu9___ZSt4cout
  0.00      0.25     0.00   937796     0.00     0.00  sf::Vector2<float>::Vector2(float, float)
  0.00      0.25     0.00   752496     0.00     0.00  std::vector<sf::Vector2<float>, std::allocator<sf::Vector2<float> > >::operator[](unsigned int)
  0.00      0.25     0.00   455624     0.00     0.00  b2Vec2::operator+=(b2Vec2 const&)
  0.00      0.25     0.00   454924     0.00     0.00  b2PolygonShape::GetVertex(int) const
  0.00      0.25     0.00   403472     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Module>*, std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > > >::base() const
  0.00      0.25     0.00   318007     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::string const, Animation> >::_M_ptr() const
  0.00      0.25     0.00   318007     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::string const, Animation> >::_M_addr() const
  0.00      0.25     0.00   318007     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, Animation> >::_M_valptr() const
  0.00      0.25     0.00   256849     0.00     0.12  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.25     0.00   255151     0.00     0.00  std::_Select1st<std::pair<std::string const, Animation> >::operator()(std::pair<std::string const, Animation> const&) const
  0.00      0.25     0.00   229273     0.00     0.00  b2Vec2::b2Vec2(float, float)
  0.00      0.25     0.00   229249     0.00     0.00  b2Fixture::GetBody()
  0.00      0.25     0.00   225330     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Module>*, std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > > >::__normal_iterator(std::tr1::shared_ptr<Module>* const&)
  0.00      0.25     0.00   201736     0.00     0.00  bool __gnu_cxx::operator!=<std::tr1::shared_ptr<Module>*, std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > > >(__gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Module>*, std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > > > const&, __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Module>*, std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > > > const&)
  0.00      0.25     0.00   196588     0.00     0.00  std::less<Directive>::operator()(Directive const&, Directive const&) const
  0.00      0.25     0.00   191207     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, Animation> > const*)
  0.00      0.25     0.00   178142     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Module>*, std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > > >::operator++()
  0.00      0.25     0.00   178142     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Module>*, std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > > >::operator*() const
  0.00      0.25     0.00   178142     0.00     0.00  std::tr1::__shared_ptr<Module, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.00      0.25     0.00   158345     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<Directive const, bool> >::_M_ptr() const
  0.00      0.25     0.00   158345     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<Directive const, bool> >::_M_addr() const
  0.00      0.25     0.00   158345     0.00     0.00  std::_Rb_tree_node<std::pair<Directive const, bool> >::_M_valptr() const
  0.00      0.25     0.00   152309     0.00     0.00  std::_Select1st<std::pair<Directive const, bool> >::operator()(std::pair<Directive const, bool> const&) const
  0.00      0.25     0.00   152187     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::_S_key(std::_Rb_tree_node<std::pair<Directive const, bool> > const*)
  0.00      0.25     0.00   152187     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::_S_value(std::_Rb_tree_node<std::pair<Directive const, bool> > const*)
  0.00      0.25     0.00   132984     0.00     0.00  std::vector<std::pair<sf::Vector2<int>, float>, std::allocator<std::pair<sf::Vector2<int>, float> > >::size() const
  0.00      0.25     0.00   132444     0.00     0.00  std::vector<std::pair<sf::Vector2<int>, float>, std::allocator<std::pair<sf::Vector2<int>, float> > >::operator[](unsigned int) const
  0.00      0.25     0.00   128664     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, Animation> >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<std::string const, Animation> > const*)
  0.00      0.25     0.00   125712     0.00     0.00  __gnu_cxx::__normal_iterator<GraphicsComponent**, std::vector<GraphicsComponent*, std::allocator<GraphicsComponent*> > >::base() const
  0.00      0.25     0.00   121189     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.25     0.00   113786     0.00     0.00  std::tr1::__shared_ptr<b2Shape, (__gnu_cxx::_Lock_policy)2>::operator*() const
  0.00      0.25     0.00   113731     0.00     0.00  b2Mul(b2Transform const&, b2Vec2 const&)
  0.00      0.25     0.00   113731     0.00     0.00  b2PolygonShape::GetVertexCount() const
  0.00      0.25     0.00   113731     0.00     0.00  b2Body::GetWorldPoint(b2Vec2 const&) const
  0.00      0.25     0.00   113731     0.00     0.00  b2Shape::GetType() const
  0.00      0.25     0.00   113731     0.00     0.00  std::tr1::__shared_ptr<b2Shape, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.00      0.25     0.00   112906     0.00     0.00  Game::getUniverse()
  0.00      0.25     0.00   112906     0.00     0.00  std::tr1::__shared_ptr<Universe, (__gnu_cxx::_Lock_policy)2>::operator*() const
  0.00      0.25     0.00   101025     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<Directive const, bool> >::_M_ptr()
  0.00      0.25     0.00   101025     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<Directive const, bool> >::_M_addr()
  0.00      0.25     0.00   101025     0.00     0.00  std::_Rb_tree_node<std::pair<Directive const, bool> >::_M_valptr()
  0.00      0.25     0.00    94311     0.00     0.00  FixtureComponent::getAngle() const
  0.00      0.25     0.00    94311     0.00     0.00  b2Body::GetAngle() const
  0.00      0.25     0.00    91273     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.25     0.00    89086     0.00     0.00  std::_Rb_tree_iterator<std::pair<Directive const, bool> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<Directive const, bool> >*)
  0.00      0.25     0.00    88878     0.00     0.00  std::_Rb_tree_iterator<std::pair<Directive const, bool> >::operator*() const
  0.00      0.25     0.00    77296     0.00     0.00  Universe::getTime() const
  0.00      0.25     0.00    72877     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.25     0.00    69848     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.25     0.00    64824     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, Animation> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::string const, Animation> > const&) const
  0.00      0.25     0.00    64824     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::end() const
  0.00      0.25     0.00    63944     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.25     0.00    63936     0.00     0.00  Timer::getTime() const
  0.00      0.25     0.00    63840     0.00     0.94  std::map<std::string, Animation, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::find(std::string const&) const
  0.00      0.25     0.00    63840     0.00     0.66  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, Animation> > const*, std::_Rb_tree_node<std::pair<std::string const, Animation> > const*, std::string const&) const
  0.00      0.25     0.00    63840     0.00     0.94  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::find(std::string const&) const
  0.00      0.25     0.00    63840     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_M_end() const
  0.00      0.25     0.00    63840     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Animation>, std::_Select1st<std::pair<std::string const, Animation> >, std::less<std::string>, std::allocator<std::pair<std::string const, Animation> > >::_M_begin() const
  0.00      0.25     0.00    63504     0.00     0.00  __gnu_cxx::__normal_iterator<GraphicsComponent**, std::vector<GraphicsComponent*, std::allocator<GraphicsComponent*> > >::__normal_iterator(GraphicsComponent** const&)
  0.00      0.25     0.00    63440     0.00     0.00  GraphicsComponent::setPosition(b2Vec2 const&)
  0.00      0.25     0.00    63437     0.00     0.00  GraphicsComponent::setRotation(float)
  0.00      0.25     0.00    63214     0.00     0.00  sf::Vector2<float> leon::b2Tosf<float>(b2Vec2 const&)
